venue_id,name
2,Corbit-Calloway Memorial Library
3,Delaware Art Museum
4,Delaware Humanities
5,Mezzanine Gallery
7,"The Children's Theatre, Inc."
9,Dover Art League
10,Rehoboth Summer Children's Theatre
11,Wilmington Wintergrass
13,Middletown Main Street Inc
14,Market Street Music
15,Melomanie
16,The New Ark Chorale
17,City Theater Company
18,Arden Club
19,Milford Community Bands
20,Mid-Atlantic Ballet
21,Newark Arts Alliance
22,Biggs Museum of American Art
24,ecarte dance theatre
25,New Castle Historical Society
26,The Delaware Symphony Orchestra
27,The Grand Opera House
28,The Greater Millsboro Art League
29,First State Symphonic Band
31,Wilmington Children's Chorus
32,Creative Writing Center of Delaware
33,New Castle Court House Museum
35,The Old State House
36,John Dickinson Plantation
37,Johnson Victrola Museum
40,Zwaanendael Museum
41,Museum Square
42,Buena Vista
43,Clear Space Theatre Company
45,Rehoboth Beach Film Society
46,"Winterthur Museum, Garden & Library"
48,Delaware Photographic Society
49,OperaDelaware
50,Newark Symphony Orchestra
51,"The Brandywiners, Ltd."
54,Delaware Theatre Company
55,The Delaware Contemporary
56,Darlington Arts Center
58,Modern Maturity Center
59,Theatre N
61,Art Loop Wilmington
63,Delaware Friends of Folk
65,Delaware Institute for the Arts in Education
66,The Candlelight Theatre
67,First & Central Presbyterian Church of Wilmington
68,CoroAllegro
69,Bellevue State Park
71,Delaware ChoralArts
72,Chambers House Nature Center at White Clay Creek State Park
73,Brandywine Baroque
74,Greenwood Public Library
75,Judge Morris Estate
76,Center for the Creative Arts
77,Blue Ball Barn at Alapocas Run State Park
78,"Christina Cultural Arts Center, Inc."
80,The Music School of Delaware
82,Brandywine Creek State Park
83,Newark Department of Parks and Recreation
85,Dover Symphony Orchestra
86,Killens Pond State Park
87,First State Ballet Theatre
88,Lewes Public Library
89,Kent County Tourism
90,"DuPont Pavilion, Cokesbury Village"
91,Edgemoor Community Center
92,Cape Henlopen High School
93,Rehoboth Art League
94,Arsht Hall (UD Wilmington Campus)
95,Chesapeake Brass Band
96,"Wesley College, Wells Auditorium"
97,University and Whist Club
98,"Delaware Tech Theatre - Arts and Science Center, Georgetown"
100,Hotel duPont Gold Ballroom
101,The Recital Hall
102,Milford Senior Center
103,Longwood Gardens
105,St. John The Apostle Catholic Church
108,Milford Senior High School
109,Abbott's Mill
110,Methodist Manor House
113,Aldersgate United Methodist Church
114,Delaware Children's Theatre
115,Milford (town of)
116,Dover (city of)
117,Milford Boys & Girls Club
118,Milford Farmer's Market
120,Chase Center on the Riverfront
121,Smyrna Opera House
125,Clayton (town of)
126,Joshua M. Freeman Foundation
127,Dover Public Library
128,Seaford Historical Society
129,The Station Gallery
130,The Arsenal at Old New Castle
131,Arden Gild Hall
132,"Delaware State University, Education & Humanities Theater"
133,Middletown (town of)
134,Choir School of Delaware
135,"University of Delaware, Roselle Center for the Arts"
137,Movies at Midway
139,"University of Delaware, Trabant University Center"
141,The Inn at Canal Square
142,"Immanuel Church, Highlands"
143,CAMP Rehoboth
144,White Clay Creek State Park
146,Delaware Dance Company
147,"Wesley College, The Arts and Culture Committee"
148,Distant Voices Touring Theatre
149,"Kaleidoscope Art Studio, Absalom Jones Community Center"
150,"Art Therapy Express Program, Inc."
152,The Barn at Flintwoods
153,Freeman Arts Pavilion
154,Dickinson High School Theater
155,"University of Delaware, Mitchell Hall"
157,"Calvary Episcopal Church, Hillcrest"
158,St. Helena's Catholic Church
159,Vicmead Bidermann Golf Course
160,Hartshorn Theatre (University of Delaware)
161,New Castle Middle School
162,Academy Building Lawn
163,Governor Ross Mansion and Plantation
164,Milton Historical Society
165,Kuumba Academy Charter School
167,Howard High School of Technology
168,Delaware Shakespeare
169,The Wellness Community-Delaware
170,Delaware College of Art and Design
171,Hanlin Chinese Culture Association
172,Delaware Choral Society
177,Delaware Nature Society
180,Delaware Center for Horticulture
181,HildaMan Chorale
182,Gallery 50
183,Arden Buzz Ware Village Center
184,Delaware Museum of Nature & Science
187,"Wesley College, Bennett Chapel"
188,Episcopal Church of Sts. Andrew and Matthew
189,Delaware History Museum
190,Delaware Historical Society
191,SPARX
193,Milton Theatre
194,Mt. Cuba Center
195,Lewes Ninth Grade Academy
196,Lewes Parks and Recreation Commission
197,"Possum Point Players, Inc."
199,Chapel Street Players
201,Rodney Square
202,"Wilmington, Mayor's Office of Cultural Affairs"
203,Mispillion Art League
204,Southern Delaware Chorale
207,Crowne Plaza Hotel
208,Somerville Manning Gallery
209,Delaware Division of Libraries
210,First State Heritage Park
211,Shawnee Country Club
